"%s %s cycle.","%s %s cyklů."
"--Please Select--","-- Prosím vyberte --"
"Send Check to","Poslat šek"
"Send Check to:","Poslat šek:"
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validation"
"Severe validation removes chargeback liability on merchant.","Silné ověření odstraňuje odpovědnost obchodníka za vrácení transakce."
"Shipping Amount","Přepravné"
"Short description of the recurring payment. By default equals to the product name.","Stručný popis opakované platby. Ve výchozím nastavení odpovídá jménu produktu."
"Sort Order","Řazení"
"Start Date","Platná od"
"Start date has invalid format.","Počáteční datum je v chybném formátu."
"Start date is undefined.","Počáteční datum není definováno."
"Subscriber Name","Jméno odběratele"
"Switch/Solo/Maestro Issue Number","Switch/Solo Issue Number"
"Switch/Solo/Maestro Only","Switch/Solo Only"
"Switch/Solo/Maestro Start Date","Switch/Solo Start Date"
"Tax Amount","Výše daně"
"Test Mode","Testovací režim"
"The date when billing for the profile begins.","Datum, kdy účtovací profil začíná."
"The number of billing cycles for payment period.","Počet fakturačních cyklů za platební období."
"The number of scheduled payments that can fail before the profile is automatically suspended.","Počet plánovaných plateb, které mohou selhat, než je profil automaticky pozastaven."
"The payment review action is unavailable.","Akce přezkoumání platby není k dispozici."
"Title","Nadpis"
"Trial Billing Amount","Zkušební fakturační částka"
"Trial Billing Frequency","Četnost zkušební fakturace"
"Trial Billing Period Unit","Jednotka zkušebního fakturačního období"
"Trial Period","Zkušební období "
"Trial billing amount is wrong.","Zkušební fakturační částka je špatná."
"Trial billing period unit is wrong.","Jednotka zkušebního zúčtovacího období je špatná."
"Trial period frequency is wrong.","Zkušební doba četnosti je chybná."
"Trial period max cycles is wrong.","Maximální počet cyklů zkušebního období je chybný."
"Two Weeks","Dva týdny"
"Unable to save Billing Agreement:","Nelze uložit platební podmínky:"
"Unit for billing during the subscription period.","Jednotka pro fakturaci během předplaceného období."
"Unsupported currency code: %s.","Nepodporovaný kód měny %s."
"Week","Týden"
"What is this?","Co to je?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Pozastavit platební profil v případě, že počáteční platba selže a nebo jej přidat do nedoplatku."
"Wrong %s specified.","Špatně %s zadáno."
"Wrong or empty billing amount specified.","Zadána chybná nebo prázdná částka."
"Year","Rok"
"Zero Subtotal Checkout","Nulová celková částka"
"<label>Make Check payable to</label>: %s","<label>Vyrobit šek splatný pro</label>: %s"
"Cannot load configuration for payment method ""%s""","Nelze nastavit platební metodu s kódem: %s"
