" and "," a "
"Last Name:","Příjmení"
"Latest Message:","Poslední zpráva:"
"Leave empty to use tax identifier","Ponechte prázdné pro použití DIČ"
"Links with associated products will retain only after saving current product.","Odkazy na přidružené produkty se zachovají pouze po uložení aktuálního produktu."
"Loading...","Nahrávám..."
"Local Server","Lokální server"
"Local/Remote Server","Lokální / vzdálený server"
"Log In","Odhlásit"
"Log Out","Odhlásit"
"Logged in as %s","Přihlášen jako %s"
"MS Excel XML","MS Excel XML"
"Magento Core Api","Magento"
"Magento Core Api Section","Magento"
"Magento Logo","Magento Logo"
"Magento ver. %s","Magento ver. %s"
"Magento&trade; is a trademark of Magento Inc.<br/>Copyright &copy; %s Magento Inc.","Magento je ochranou známkou Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc."
"Main Tabs",""
"Make Inactive","Interaktivní"
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).",""
"Make sure that you configure the design settings for the Payflow Link form in your Payflow link account.",""
"Manage Stores","Spravovat obchody"
"Max","Max"
"Min","Min"
"More Tabs",""
"N/A","nedefinováno"
"Name","Jméno"
"Name on Card","Jméno na kartě"
"Name on the Card: %s","Jméno na kartě: %s"
"Name:","Jméno:"
"Next month (hold for menu)","Příští měsíc (podržte pro menu)"
"Next page","Další"
"Next year (hold for menu)","Příští rok (podržte pro menu)"
"No","Ne"
"No Data Found","Nenalezena data"
"No information available.",""
"No profile loaded...",""
"No search keywords.","Nenalezeno klíčové slovo."
"None","Žádné"
"Note:","Poznámka:"
"Number of records:","Počet záznamů:"
"Old rate:","Stará sazba:"
"On my website",""
"Once you log into your Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below",""
"Only mapped fields","Pouze přiřazená pole"
"Options menu items",""
"Order ID","Objednávka celkem"
"Order Totals","Objednávka celkem"
"Order cannot be placed.","Objednávka nemůže být odeslána."
"Original Magento attribute names in first row:","Původní Jméno Magento vlastností v prvním řádku:"
"Out of stock",""
"Package","Balík"
"Packages","Balíčky"
"Page","Stránka"
"Parent Transaction ID",""
"Passive mode","Pasivní mód"
"Password","Heslo"
"Path","Cesta"
"Path:","Cesta:"
"Personal Information","Osobní informace"
"Phone:","Telefon:"
"Please Select","Vyberte prosím možnost."
"Please confirm site switching. All data that hasn't been saved will be lost.","Potvrďte změnu stránek. Všechna neuložená data budou ztracena."
"Please continue with placing order.","Vložte prosím číslo objednávky."
"Please enter 6 or more characters.","Zadejte prosím 6 nebo více znaků."
"Please enter a number greater than 0 in this field.","Do tohoto pole prosím vložte číslo větší než 0."
"Please enter a valid $ amount. For example $100.00.","Vložte prosím platný obnos $. Například $100,00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Vložte prosím platnou URL. Například http://www.iobchod.net nebo www.iguru.eu"
"Please enter a valid URL. http:// is required","Vložte prosím platnou URL. http:// je povinné."
"Please enter a valid credit card number.","Vložte prosím platné číslo kreditní karty."
"Please enter a valid date.","Vložte prosím platné datum."
"Please enter a valid email address. For example johndoe@domain.com.","Vložte prosím platnou emailovou adresu. Například johndoe@domain.com."
"Please enter a valid number in this field.","Zadejte prosím do tohoto pole platné číslo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Vložte prosím platné telefonní číslo. Například (123) 456-7890 nebo 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Vložte prosím platné číslo sociálního pojištění. Například 123-45-6789."
"Please enter a valid value from list","Vložte prosím platnou hodnotu ze seznamu"
"Please enter a valid value, ex: 10,20,30","Vložte prosím platnou hodnotu. Například: 10, 20, 30"
"Please enter a valid zip code.","Zadejte prosím platné PSČ."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Zadejte prosím platné PSČ. Například 10000."
"Please enter another credit card number to complete your purchase.","Vložte prosím platné číslo kreditní karty."
"Please enter valid password.","Vložte prosím platné heslo."
"Please make sure that your changes were saved before running the profile.","Ujistěte se, že jsou Vaše změny uloženy před spuštěním profilu."
"Please make sure your passwords match.","Ujistěte se prosím, že hesla souhlasí."
"Please select State/Province.","Vyberte prosím stát/provincii."
"Please select an option.","Vyberte prosím možnost."
"Please select one of the above options.","Vyberte prosím jednu z uvedených možností"
"Please select one of the options.","Vyberte prosím jednu z možností."
"Please use in this field only ""a-z,0-9,_"".","Lze použít pouze ""a-z, 0-9, _"" "
"Please use letters only (a-z) in this field.","V tomto poli prosím použijte pouze písmena (a-z)."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","V tomto poli prosím použijte pouze číslice. Vyhněte se mezerám a ostatním znakům, jako tečky a čárky."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","V tomto poli prosím použijte pouze písmena (a-z), nebo číslice (0-9). Nejsou povoleny mezery ani jiné znaky."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","V tomto poli prosím použijte pouze písmena (a-z), číslice (0-9), mezery, nebo #."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Použijte prosím tento formát data: dd/mm/rrrr. Například 17/03/2006 pro 17. března, 2006."
"Please wait while the indexes are being refreshed.",""
"Please wait, loading...","Čekejte prosím, načítá se..."
"Preset Theme",""
"Prev. month (hold for menu)","Předchozí měsíc (podržte pro menu)"
"Prev. year (hold for menu)","Předchozí rok (podržte pro menu)"
"Preview","Náhled emailu"
"Previous page","Předchozí"
"Price","Cena"
"Price:","Cena:"
"Product","Produkt"
"Product Name3 ","Produkt"
"Product Name3 1","Produkt"
"Product Name3 2","Produkt"
"Products","Produkty"
"Profile Information","Informace o profilu"
"Qty","Množství"
"Qty:","Množství"
"Read details","Číst podrobnosti"
"Reference ID",""
"Regular Price:","Cena:"
"Remote FTP","Vzdálené FTP"
"Remove","Odstranit"
"Required settings","Obecné nastavení"
"Reset","Role"
"Reset Successful","Ověření proběhlo v pořádku"
"Resource Access","Přístup ke zdrojům"
"Resources","Zdroje"
"Return URL: ",""
"Role Users","Uživatelské role"
"Roles","Role"
"Roles Resources","Zdroje role"
"SKU","SKU"
"SKU:","SKU:"
"SORT BY:",""
"Save Theme",""
"Screens:",""
"Select All","Vybrat vše"
"Select Date","Vybrat datum"
"Select Range","Vyberte rozsah"
"Select Template","Vybrat datum"
"Select Visible","Označit viditelné"
"Select date","Vybrat datum"
"Shipment Comments","Komentář k zásilce"
"Shipment History","Historie zásilky"
"Shipping Address","Dodací adresa"
"Shipping address selection is not applicable","Vybraná adresa doručení není použitelná"
"Shipping method selection is not applicable","Vybraná metoda doručení není použitelná"
"Show By","Ukázat"
"Show Report For","Ukázat report"
"Show confirmation page: ","Potvrzující email objednávky odeslán"
"Silent Post URL:",""
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Některé z položek v této objednávce má rozdílnou fakturu a způsob doručení. Zásilku můžete vyrobit až po vystavení faktury."
"Some other FAQ",""
"Sort Order","Pořadí objednávek"
"Special Price:","Konečná cena"
"Spreadsheet Name:","Jméno sešitu:"
"Start Date","Datum začátku"
"Start/Reset Validation...","Spustit/Zrušit ověřování..."
"Starting profile execution, please wait...",""
"State/Province:","Kraj/Region:"
"Status","Stav:"
"Status:","Stav:"
"Stock Quantity:","Množství na skladu:"
"Store:","Obchod:"
"Switch/Solo card issue number: %s","Switch/Solor card issue number: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solor card start Date: %s/%s"
"Switch/Solo/Maestro Only","Switch/Solo/Maestro(pouze pro občany UK)"
"Switch/Solo/Maestro(UK Domestic) Only","Switch/Solo/Maestro(pouze pro občany UK)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro (pouze pro občany UK) číslo karty: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro (pouze pro občany UK) datum vydání karty: %s/%s"
"Synchronization is required.",""
"System busy",""
"T-Shirts",""
"Target","Cíl"
"Tell a Friend",""
"Template Name","Příjmení"
"The card has failed verification with the issuer bank.","Karta nebyla ověřena Vaší bankou."
"The information in this tab has been changed.","Informace v této záložce byly změněny."
"Theme has been saved.",""
"There has been wrong payment information submitted or time limit has expired. Please, try again.",""
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Toto je ukázkový obchod. Všechny objednávky učiněné v tomto obchodě nebudou účtovány ani vyřízeny."
"This is a required field.","Toto pole je povinné."
"This tab contains invalid data. Please solve the problem before saving.","Tato záložka obsahuje chybná data. Odstraňte je prosím před uložením."
"Thumbnail","Náhled"
"Time selection:","Výběr času:"
"Time:","Čas:"
"Title bar",""
"To","Pro"
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.",""
"To use Payflow Link, you must configure your Payflow Link account on the Paypal website.",""
"Top 5 Search Terms","Nejvyhledávanějších pět výrazů"
"Total %d records found","Celkem nalezeno záznamů: %d"
"Track Order","Sledovat objednávku"
"Track this shipment","Sledovat zásilku"
"Transaction Data","Datum platnosti"
"Transaction Details",""
"Transaction ID",""
"Transaction Type",""
"Try Magento Go for Free",""
"Type","Typ"
"Type:","Typ:"
"Unable to login.","Nelze se přihlásit."
"Unknown Error",""
"Unknown Error.",""
"Unselect All","Odznačit vše"
"Unselect Visible","Odznačit viditelné"
"Update Preview","Náhled emailu"
"Updated At",""
"Use Default Value","Použít výchozí hodnotu"
"Use Silent Post:",""
"User","Uživatel"
"User Name","Uživatelské jméno"
"User Roles","Role uživatele"
"User name","Uživatelské jméno"
"Users","Uživatelé"
"Validation Results",""
"Value Delimiter:","Oddělovač hodnot:"
"Verification Failed","Chyba ověřování"
"Verification Successful","Ověření proběhlo v pořádku"
"Verification cannot be processed","Ověření proběhlo v pořádku"
"View","Pohled"
"View Details","Číst podrobnosti"
"View Gallery",""
"View Statistics For","Zobrazit statistiku pro"
"Visibility:","Viditelnost:"
"Warning! Empty value can cause problems with CSV format.","Upozornění! Prázdná hodnota může způsobit problémy s CSV formátem."
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Pozor!\r\nTato akce odstraní tohoto uživatele ze všech přiřazených rolí\r\nJste si jisti?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Pozor!\r\nTato akce odstraní tyto uživatele ze všech přiřazených rolí\r\nJste si jisti?"
"Warning: Please do not close the window during importing/exporting data",""
"We detected that your JavaScript seem to be disabled.","Zjistili jsme, že máte vypnutý JavaScript."
"Web Services","Webové služby"
"What is this?","Co to je?"
"Yes","Ano"
"You have %s unread message(s).",""
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Pro plnou funkčnost těchto stránek musíte mít povolený JavaScript ve svém prohlížeči."
"Your account has been deactivated.","Váš účet byl zablokován."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Nastavení PHP Vašeho serveru v tuto chvíli neumožňuje nahrát soubory větší než %s. Prosím upravte hodnoty post_max_size (momentálně je %s) a upload_max_filesize (momentálně je %s) v php.ini pokud chcete nahrávat větší soubory."
"Zip/Postal Code:","PSČ"
"critical","kritická"
"images/logo.gif","images/logo.gif"
"items selected","Vybrané položky"
"major","vysoká"
"minor","nízká"
"notice","upozornění"
"of %s pages","stránek %s"
"per page","na stránku"
"to","do"
"Order confirmation email not sent","Potvrzující mail objednávky nebyl odeslán"
"You have","Máte"
