"-OR-","-NEBO-"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Pokud je tato možnost povolena, může zákazník změnit dodací adresu a dopravní metodu na PayPal stránkách. V živém režimu funguje přes pouze přes HTTPS protokol."
"Impossible to issue a refund transaction because the capture transaction does not exist.","Je problém s vrácením transakce protože transakci se nepodařilo zachytit."
"Incentive","Pobídka"
"Initiation Date","Datum zahájení"
"Invoice ID","Faktura ID"
"Issuer Liability","Emitent záruky"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Doporučuje se nastavit tuto hodnotu na ""debetní nebo kreditní karty"" na zobrazení obchodu."
"It is recommended to set this value to ""PayPal"" per store views.","Doporučuje se nastavit tuto hodnotu na ""PayPal"" na zobrazení obchodu."
"Items in Your Shopping Cart","Položky v nákupním košíku"
"Last Correlation ID","Poslední srovnávací ID"
"Last Transaction ID","Poslední ID transakce"
"Learn More","Dozvědět se více"
"Login","Přihlášení"
"Looking for PayPal? We have our own tab to the left under Sales.","Hledáte PayPal? Máme vlastní záložku vlevo pod prodejem."
"Mass Pay Payment","Hromadné Pay platby"
"Matched (CVV2)","Odpovídající (CVV2)"
"Matched (CVV2CSC)","Odpovídající (CVV2CSC)"
"Matched Address only (no ZIP)","Pouze odpovídající adresy (ne PSČ)"
"Matched Address only (no ZIP). International","Pouze odpovídající adresy (ne PSČ). Mezinárodní"
"Matched Postal Code only (no Address)","Pouze odpovídající PSČ (ne adresa)"
"Matched five-digit ZIP only (no Address)","Pouze obsahující pětimístné PSČ (ne adresu)"
"Matched whole nine-didgit ZIP (no Address)","Odpovídající všem devíti číslum v PSČ (ne adresa)"
"Merchant Account","Účet obchodníka"
"Merchant Country","Země obchodníka"
"Merchant Liability","Odpovědnost obchodníka"
"Merchant Protection Eligibility","Ochrana způsobilosti obchodníka"
"Merchant Referral Bonus","Merchant Referral Bonus"
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","Obchodník nemá účet v USA a neobsahuje způsob stažení."
"Merchant reference ID format is not supported.","Referenční ID obchodníka není podporováno."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Obchodníci musí nejprve potvrdit platební podmínky PayPal. Nezapínejte tuto funkci dokud nebudou potvrzeny platební podmínky pro Váš obchodní účet."
"Mobile Payment (made via a mobile phone)","Mobilní platby (prováděné pomocí mobilního telefonu)"
"N/A","nedefinováno"
"N/A. Address not checked, or acquirer had no response. Service not available","Nedefinováno. Adresa nebude kontrolována. Služba není dostupná."
"N/A. Global Unavailable","Nedefinováno. Globálně nedostupné"
"N/A. International Unavailable","Nedefinováno. Mezinárodně nedostupné"
"N/A. Merchant has indicated that CVV2 is not present on card","Nedefinováno. Kupec uvedl, že CVV2 není na kartě k dispozici"
"N/A. No response","Nedefinováno. Bez odezvy"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N / A. Není povoleno pro transakce MOTO (Internet / telefon)"
"N/A. Not processed","N / A. není zpracován"
"N/A. Retry","N / A. Opakovat"
"N/A. Service not Supported","N / A. Služba není podporována"
"N/A. Service not available","N / A. Služba není dostupná"
"N/A. Service not supported","N / A. Služba není podporována"
"N/A. The merchant did not provide AVS information","N / A.Obchodník neposkytl informace o AVS"
"N/A. The merchant has not implemented CVV2 code handling","N / A. Obchodník neprovedl CVV2 kód manipulaci"
"N/A. Unavailable","N / A. Nedostupné"
"Negative Balance","Záporný zůstatek"
"Never","Nikdy"
"No","Ne"
"No Details matched","Neobsahuje žádné detaily"
"No Details matched. International","Neobsahuje žádné detaily. Mezinárodní"
"No Liability Shift","Žádná odpovědnost Shift"
"No Logo","Nezobrazovat logo"
"No match","žádná shoda"
"None of the address information matched","Informace neodpovídají žádné z adress"
"Note: %s","Poznámka: %s"
"Nothing to fetch because of an empty configuration.","Nic k načtení protože konfigurace je prázdná."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Všimněte si, že PayPal umožňuje zpracovat až 10 možností dopravy. To je důvod, proč Magento přenese pouze prvních 10 nejlevnějších možnosti dopravy, pokud jich existuje více než10."
"Notified customer about creditmemo #%s.","Oznámí zákazníkovi dobropis č.: %s."
"Notified customer about invoice #%s.","Oznámit zákazníkovi fakturu č.: %s."
"Now accepting PayPal (150 X 40)","Nyní akceptujeme PayPal (150x40)"
"Now accepting PayPal (150 X 60)","Nyní akceptujeme PayPal (150x60)"
"Open Authorization","Open Authorization"
"Order","Objednávka"
"Order ID","ID Objednávky"
"Page Background Color","Barva pozadí stránky"
"Page Style","Styl stránky"
"Part of the address information matched","Obsahuje část adresy"
"Partner","Partner"
"Password","Heslo"
"Pay Now","Zaplatit nyní"
"PayPal","PayPal"
"PayPal Balance Manager function of PayPal account","PayPal Balance Manager function of PayPal account"
"PayPal Buyer Warranty Bonus","PayPal Buyer Warranty Bonus"
"PayPal Debit Card Cash Advance","PayPal Debit Card Cash Advance"
"PayPal Debit Card Withdrawal from ATM","PayPal Debit Card Withdrawal from ATM"
"PayPal Express Checkout Shortcut Wrapper","PayPal Express Checkout Shortcut Wrapper"
"PayPal Express Checkout Token does not exist.","PayPal Express Checkout Token does not exist."
"PayPal Express Order Review Form","PayPal Express Order Review Form"
"PayPal Fee Information","PayPal Fee Information"
"PayPal Merchant Pages Style","PayPal styl stránky obchodníka"
"PayPal Product Logo","PayPal logo produktu"
"PayPal Protection Bonus","PayPal Protection Bonus"
"PayPal Reference ID","PayPal referenční ID"
"PayPal Reference ID Type","PayPal typ referenčního ID"
"PayPal Settlement Reports","PayPal zúčtovací zprávy"
"PayPal certificate does not exist.","Certifikát PayPal neexistuje."
"PayPal certificate file is empty.","Soubor certifikátu PayPal je prázdný."
"PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process.","PayPal neumožňuje zpracování objednávek s nulovou částkou. K dokončení Vaší objednávky pokračujte přes standardní dokončení objednávky."
"PayPal gateway has rejected request. %s","Brána PayPal odmítla žádost: %s"
"PayPal processes all of your orders, and you get paid.","PayPal procesy všech vašich objednávek a dostanete zaplaceno."
"PayPal response hasn't required fields.","PayPal response hasn't required fields."
"PayPal retains reports for 45 days.","PayPal uchovává zprávy po dobu 45 dnů."
"PayPal/Centinel Electronic Commerce Indicator","PayPal/Centinel Electronic Commerce Indicator"
"PayPal/Centinel Visa Payer Authentication Service Result","PayPal/Centinel Visa Payer Authentication Service Result"
"Payer Address ID","ID adresy plátce"
"Payer Address Status","Stav adresy plátce"
"Payer Email","Email plátce"
"Payer Email: %s","Email plátce: %s"
"Payer ID","ID plátce"
"Payer Status","Stav plátce"
"Payer is not identified.","Plátce nebyl identifikován."
"Payflow Link (for USA and Canada)","Payflow Link (for USA and Canada)"
"Payflow Link Settings","Payflow Link Settings"
"Payflow Pro Gateway","Payflow Pro Gateway"
"Payflow Pro Settings","Payflow Pro Settings"
"Payment Action","Platební akce"
"Payment Applicable From","Platby z použitelných zemí"
"Payment Method","Platební metoda"
"Payment Refund initiated by merchant","Payment Refund initiated by merchant"
"Payment has been declined. Please try again.","Platba byla odmítnuta. Zkuste to prosím znovu."
"Payments by PayPal (150 X 40)","Platby přes PayPal (150 x 40)"
"Payments by PayPal (150 X 60)","Platby přes PayPal (150 x 60)"
"Payments by cards + seller protection - <strong style=""color:red"">Contact PayPal before activating</strong>","Platby kartamy + ochrana prodávajícíh - <strong style=""color:red"">Kontaktujte PayPal před aktivací</strong>"
"Paypal Billing Agreement Settings","Paypal nastavení fakturačních dohod"
"Pending PayPal","Čekající PayPal"
"Place Order","Objednat"
"Please do not refresh the page until you complete payment.","Prosím neobnovujte stránku dokud nebude platba dokončena."
"Please select a shipping method...","Vyberte prosím způsob dodání..."
"Points Incentive Redemption","Points Incentive Redemption"
"Postage Payment to either USPS or UPS","Postage Payment to either USPS or UPS"
"Preapproved Payment (BillUser API), either sent or received","Platba předem schválené (BillUser API), a to buď odesílá nebo přijímá"
"Preapproved Payment ID","ID předem schválené platby"
"Price","Cena"
"Process credit cards directly on your website with PayPal’s all-in-one online payment processing solution.","Zpracovávat kreditní karty přímo na vašich webových stránkách PayPal je all-in-Oneon-line platební řešení pro zpracování."
"Product Name","Název produktu"
"Proxy Host","Server"
"Proxy Port","Port Proxy"
"Qty","Množství"
"Quick set-up service lets your customers securely complete transactions.","Rychlé nastavení služba umožňuje zákazníkům bezpečně provádět transakce."
"Reauthorization","Znovuautorizovat"
"Reference Information","Referenční informace"
"Refund issued by merchant.","Refund issued by merchant."
"Reimbursement for a chargeback.","Úhrada za vrácení peněz."
"Reimbursement of Chargeback","Reimbursement of Chargeback"
"Report Date","Start Datum"
"Reports","Reporty"
"Require CVV Entry","Je vyžadováno CVV"
"Reversal","Výměna"
"Reversal of General Account Hold","Zúčtování obecného účtu držte"
"Reversal of Points Usage","Reversal of Points Usage"
"Reversal of an adjustment.","Reversal of an adjustment."
"Reversal of hold for Dispute Investigation"," "
"Review Order","Přehled objednávky"
"Reward Voucher Redemption","Reward Voucher Redemption"
"SFTP Credentials","SFTP pověření"
"Sale","Prodej"
"Sales","Prodeje"
"Sandbox Credentials","Sandbox Credentials"
"Sandbox Mode","Pískoviště"
"Schedule","Plán"
"Schedule description is too long.","Popis plánu je příliš dlouhý."
"Scheduled Fetching","Plánované stahování"
"Select a PayPal Solution","Vyberte PayPal řešení"
"Settlement Consolidation","Konsolidace vyrovnání"
"Settlement Report Settings","Settlement Report Settings"
"Settlement of a chargeback.","Settlement of a chargeback."
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validation"
"Severe Validation Removes Chargeback Liability on Merchant","Severe Validation Removes Chargeback Liability on Merchant"
"Severe validation removes chargeback liability on merchant.",""
"Shipping","Přeprava"
"Shipping Address","Dodací adresa"
"Shipping Information","Dodací údaje"
"Shipping Method","Způsob dodání"
"Shop now using (150 X 40)","Obchod nyní používá (150x40)"
"Shop now using (150 X 60)","Obchod nyní používá (150x60)"
"Shortcut","Zkratka"
"Shortcut Buttons Flavor","Varianta tlačítka zástupce"
"Shortcut on Product View","Zástupce na stránce produktů"
"Shortcut on Shopping Cart","Zástupce v nákupním košíku"
"Sign a billing agreement to streamline further purchases with PayPal.","Sign a billing agreement to streamline further purchases with PayPal."
"Solo","Solo"
"Sorry, no quotes are available for this order at this time.","Litujeme, pro tuto objednávku nyní nejsou k dispozici žádné nabídky."
"Sort Order","Řazení"
"Static","Static"
"Submitting order information...","Odesílám informace o objednávce..."
"Subscriber name is too long.","Jméno odběratele je příliš dlouhé."
"Subscription ID","ID Odběratele"
"Subscription Payment, either payment sent or payment received","Subscription Payment, either payment sent or payment received"
"Subtotal","Součet"
"Summary Text for Aggregated Cart","Shrnující text pro agregovaný košík"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Podpora pro karty American Express vyžaduje dodatečné licenční podmínky. Více na <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"Switch/Maestro","Switch/Maestro"
"Test Mode","Testovací režim"
"The background color for the checkout page around the header and payment form.","Barva pozadí pro stránku pokladny a platební formulář."
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","Barva pozadí záhlaví stránky pokladny. Malá písmena šest znaků HTML hexadecimální kód barvy v ASCII."
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","Obrázek nahoře vlevo na stránce pokladny. Maximální velikost je 750x90-pixelů. <strong style=""color:red"">https</strong> JE DOPORUČOVÁNO."
"The merchant account is not yet verified.","Účet obchodníka ještě není ověřen."
"The payment curency does not match any of the merchant's balances currency.","Měna platby neodpovídá žádnému z obchodníkových."
"The payment eCheck is not yet cleared.","Platba eCheck ještě není zrušena."
"The payment is authorized but not settled.","Platba je povolena ale není vybrána."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","Platba je pozdržena, protože byla realizována prostřednictvím emailu, který nebyl ještě registrován nebo potvrzen."
"The payment is pending while it is being reviewed by PayPal for risk.","Platba je pozdržena dokud PayPal neprozkoumá rizika."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","Platba byla provedena prostřednictvím kreditních karet. Za účelem získání prostředků obchodníkmusí upgradovat účet nebo Business nebo  Premier."
"There was an error processing your order. Please contact us or try again later.","Chyba při zpracování objednávky. Prosím zkuste to znovu později, nebo nás kontaktujte."
"Time of Day","Denní doby"
"Title","Nadpis"
"Transaction ID","ID transakce"
"Transaction Information","Informace o transakci"
"Transfer Cart Line Items","Transfer Cart Line Items"
"Transfer Shipping Options","Možnosti přenosu přepravy"
"Triggered Fraud Filters","Triggered Fraud Filters"
"Unable to cancel Express Checkout.","Nelze zrušit expresní platbu (Express Checkout)."
"Unable to change status. Current status is not correspond to real status.","Nelze změnit stav. Momentální stav neodpovídá reálnému stavu."
"Unable to communicate with the PayPal gateway.","Nelze komunikovat s platební bránou PayPal."
"Unable to initialize Express Checkout review.","Nelze inicializovat Express Checkout review."
"Unable to initialize Express Checkout.","Nelze inicializovat Express Checkout."
"Unable to place the order.","Objednávku nelze zadat."
"Unable to process Express Checkout approval.","Nelze zpracovat schválení Express Checkout."
"Unable to start Express Checkout.","Zaplatit PayPal Express"
"Unable to update shipping method.","Upravit způsob doručení"
"Unknown reason. Please contact PayPal customer service.","Z neznámého důvodu. Prosím, kontaktujte PayPal zákaznický servis."
"Update Shipping Method","Upravit způsob doručení"
"Use Proxy","Použít Proxy"
"Use colon to specify port. For example: ""test.example.com:5224"".","Použijte dvojtečku pro specifikaci portu. Například: ""test.iguru.eu:1234""."
"User","Uživatel"
"User-initiated Currency Conversion","Uživatel iniciované měny pro převod"
"Uses store frontend name by default.","Používá jméno ve výchozím nastavení."
"Vendor","Prodejce"
"View","Pohled"
"View Demo","Zobrazit demo"
"View PayPal solutions.","Zobrazit PayPal řešení."
"View Transaction","Zobrazit transakce"
"View Transaction Details","Zobrazit podrobnosti transakce"
"Virtual PayPal Debit Card Transaction","Virtual PayPal Debit Card Transaction"
"Virtual Terminal Payment","Virtual Terminal Payment"
"Void","Prázdný"
"We prefer PayPal (150 X 40)","Doporučujeme PayPal (150x40)"
"We prefer PayPal (150 X 60)","Doporučujeme PayPal (150x60)"
"Website Payments Pro","Webstránky Payments Pro"
"Website Payments Pro (Payflow Edition) Settings","Nastavení stránky PayPal Payments Pro (Payflow Edition)"
"Website Payments Pro Hosted Solution (Website Payments Plus (JP) - Integral Evolution (FR) - PayPal Pro (IT) - Pasarela integral (ES))","Website Payments Pro Hosted Solution (Website Payments Plus (JP) - Integral Evolution (FR) - PayPal Pro (IT) - Pasarela integral (ES))"
"Website Payments Pro Hosted Solution Settings","Website Payments Pro Hosted Solution Settings"
"Website Payments Pro Payflow Edition (includes Express Checkout)","Stránky Payments Pro a Expresní platby (API podpis)"
"Website Payments Pro Settings","Webstránky Payments Standard"
"Website Payments Standard","Webstránky Payments Standard"
"Website Payments Standard Payment","Webstránky Payments Standard"
"Website Payments Standard Settings","Webstránky Payments Standard"
"What is PayPal?","Co to je?"
"Whether to create a billing agreement, if there are no active billing agreements available.",""
"Will appear as a payment option only for customers who have at least one active billing agreement.",""
"WorldLink Withdrawal",""
"Would you like to sign a billing agreement to streamline further purchases with PayPal?",""
"Wrong PayPal Express Checkout Token specified.","Zaplatit PayPal Express"
"Yes",""
"Yes. Matched Address and five-didgit ZIP",""
"You will be redirected to the PayPal website in a few seconds.","Během několika sekund budete přesměrováni na Paypal."
"You will be redirected to the PayPal website when you place an order.","Během několika sekund budete přesměrováni na Paypal."
"You will be redirected to the PayPal website.","Během několika sekund budete přesměrováni na Paypal."
"You will be required to enter your payment details after you place an order.",""
"eBay Auction Payment",""
"#~ ""\n""#~ ""                                Example: <b>https://www.paypal.com/au/cgi-""#~ ""bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b>\n""#~ ""                                Where &lt;user_action&gt; is 'commit' or ""#~ ""'continue', depending on your preference of commit button text.\n""#~ ""                            ""","#~ ""\n""#~ ""<br>Například: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-""#~ ""checkout&useraction=<user_action>&amp;token=</b> kde &lt;user_action&gt; ""#~ ""je 'zapsat' nebo 'pokračovat', závisí na vašich preferencích tlačítka ""#~ ""Potvrdit."""
"Amex","Amex"
"Authorize and Capture","Autorizovat a přijmout"
"Business Account","Obchodní účet"
"Business Name","Obchodní jméno"
"Card Verification Number","Ověřovací číslo karty (CCV)"
"Credit Card Number","Číslo platební karty"
"Credit Card Number: xxxx-%s","Číslo platební karty: xxxx-%s"
"Credit Card Type","Typ platební karty"
"Credit Card Type: %s","Typ platební karty: %s"
"Customer returned from PayPal site.","Zákazník po návratu ze stránek PayPal."
"Error in creating an invoice","Chyba při vytváření faktury"
"Error in refunding the payment","Chyba při placení"
"Expiration Date: %s/%s","Datum expirace: %s/%s"
"Incl. Tax","S daní"
"Invalid transaction id","Chybné id transakce"
"Invoice #%s created","Faktura #%s vytvořena"
"Issue Number","Problém číslo"
"MasterCard","MasterCard"
"Maximum image size is 750x90 px.","Maximální velikost obrázku je 750x90 px."
"Name on Card","Jméno na kartě"
"Name on the Card: %s","Jméno na kartě: %s"
"New order status","Nový stav objednávky"
"No shipping method required.","Způsob doručení není vyžadován."
"Order total amount does not match paypal gross total amount","Celková částka objednávky není stejná jako celková částka PayPal"
"PayPal Accounts","Účet PayPal"
"PayPal Uk Account","Účet PayPal Uk"
"PayPal Website Payments Standard","Stránky PayPal Payments Standard"
"Payment from Specific countries","Platby z vybraných zemí"
"Paypal Checkout","Zaplatit PayPalem"
"Paypal IPN Invalid %s.","Chybný IPN Paypal (%s)."
"Paypal Logo Image URL","Paypal Logo Image URL"
"Paypal URL","Paypal URL"
"Please select a valid shipping method","Vyberte prosím platný způsob dopravy"
"Received IPN verification","Přijaté ověřovací IPN"
"Selected currency code (","Vybrat kód měny ("
"Switch/Solo Only","Přepínač/pouze samostatný"
"Switch/Solo card issue number: %s","Switch/Solor card issue number: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solor card start Date: %s/%s"
"There was an error connecting to the Paypal server: %s","Při připojování k serveru PayPalu došlo k chybě: %s"
"There was an error during communication with Paypal: %s - %s","Při komunikaci s PayPalem došlo k chybě: %s - %s"
"Type","Typ"
"Unknown PayPal API error: %s","Neznámá chyba PayPal rozhraní: %s"
"Visa","Visa"
"#~ ""Your billing address will be ignored and you will be redirected to PayPal ""#~ ""UK website""","#~ ""Vaše fakturační adresa bude ignorována a budete přesměrováni na PayPal UK ""#~ ""stránky"""
