"%s was added to your shopping cart.","%s byl úspěšně přidán do košíku."
"%s was updated in your shopping cart.","%s byl úspěšně upraven ve Vašem košíku."
"* Required Fields","* Povinná pole"
"Edit Terms and Conditions","Upravit pravidla a podmínky"
"Edit Your Cart","Upravit košík"
"Edit item","Upravit položku"
"Edit item parameters","Upravit vlastnosti položky"
"Email Address","Emailová adresa"
"Enable Onepage Checkout","Povolit jednostránkové platby"
"Enable Terms and Conditions","Zapnout podmínky"
"Enabled","Aktivní"
"Enter a New Address","Zadat novou adresu"
"Enter your coupon code if you have one.","Vložte kód kupónu pokud ho vlastníte."
"Enter your destination to get a shipping estimate.","Pro odhad poštovného zadejte místo určení."
"Estimate Shipping and Tax","Odhad poštovného a daní"
"Excl. Tax","Bez daně"
"Fast and easy check out","Rychle a snadné placení"
"Fax","Fax"
"Forgot an Item?","Zapomněli jste na něco?"
"Forgot your password?","Zapomněli jste heslo?"
"Get a Quote","Poptat se"
"Get list of available payment methods","Získat seznam dostupných platebních metod"
"Get list of available shipping methods","Získat seznam dostupných dodacích metod"
"Get list of products in shopping cart","Zobrazit seznam produktů v košíku"
"Get terms and conditions","Pravidla a podmínky"
"Get total prices for shopping cart","Celková hodnota košíku"
"Grand Total:","Celkem:"
"Grouped Product Image","Obrázek skupiny produktů"
"HTML","HTML"
"ID","ID"
"Incl. Tax","S daní"
"Invalid method: %s","Chybná metoda: %s"
"Item not found or already ordered","Položka nenalezena nebo již objednána"
"Items","Položky"
"Items After","Položky po"
"Items Before","Položky před"
"Load customer quote error","Chyba při nahrávání zákaznických omezení"
"Loading next step...","Nahrávám další krok..."
"Login","Přihlášení"
"Login/Registration Before","Přihlášení/registrace před"
"Manage Checkout Terms and Conditions","Spravovat podmínky plateb"
"Maximum Display Recently Added Item(s)","Maximálně zobrazovat posledně přidaných položek"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximální množství povolené pro doručení na více adres je %s"
"Move to Wishlist","Přesunout do seznamu přání"
"Multishipping Checkout","Pokladna pro více adres"
"Multishipping Checkout Address (Any) Form","Doručení na více adres"
"Multishipping Checkout Billing Address Creation","Doručení na více adres, vytvoření fakturační adresy"
"Multishipping Checkout Billing Address Edit Form","Doručení na více adres, upravení fakturační adresy"
"Multishipping Checkout Billing Address Selection","Doručení na více adres, výběr fakturační adresy"
"Multishipping Checkout Billing Information Step","Doručení na více adres, Krok informace o fakturaci"
"Multishipping Checkout Customer Address Edit Form","Doručení na více adres, zákaznická adresa"
"Multishipping Checkout Overview","Přehled doručení na více adres"
"Multishipping Checkout Shipping Address Creation","Doručení na více adres, vytvoření adresy doručení"
"Multishipping Checkout Shipping Address Edit Form","Doručení na více adres, úprava adresy doručení"
"Multishipping Checkout Shipping Address Selection","Doručení na více adres, výběr adresy doručení"
"Multishipping Checkout Shipping Information Step","Doručení na více adres, Krok informace o doručení"
"Multishipping Checkout Success","Doručení na více adres - Úspěch"
"My Cart","Můj košík"
"My Cart (%s item)","Košík (položek %s)"
"My Cart (%s items)","Košík (položek: %s)"
"My Cart Link","Odkaz na košík"
"New Address","Nová adresa"
"New Condition","Nové pravidlo"
"One Page Checkout","Jednostránková platba"
"One Page Checkout Failure","Jednostránková platba - Chyba"
"One Page Checkout Overview","Jednostránková platba - Přehled"
"One Page Checkout Success","Jednostránková platba - Úspěch"
"Order #","Objednávka č. #"
"Order Review","Souhrn objednávky"
"Order Success","Úspěšně objednáno"
"Other Items in Your Order","Další položky ve Vaší objednávce"
"Overview Items After","Zobrazit položky po"
"Password","Heslo"
"Payment Failed Email Reciever","Příjemce emailu ""platba se nezdařila"""
"Payment Failed Email Sender","Odesilatel emailu ""platba se nezdařila"""
"Payment Failed Emails","Email ""platba se nezdařila"""
"Payment Failed Template","Šablona ""platba se nezdařila"""
"Payment Information","Platební údaje"
"Payment Method","Platební metoda"
"Payment Methods After Checkout Button","Platební metody po stisknutí tlačítka K pokladně"
"Payment Methods Before Checkout Button","Platební metody před tlačítkem K pokladně"
"Payment method information","Platební údaje"
"Payment method is not defined","Platební metoda není definována"
"Payment methods in shopping cart","Platební metody v nákupním košíku"
"Payment profile # %s: ""%s"".","Platební profil číslo %s: ""%s""."
"Place Order","Objednat"
"Please agree to all Terms and Conditions before placing the order.","Prosím potvrďte podmínky před umístěním objednávky."
"Please agree to all Terms and Conditions before placing the orders.","Prosím potvrďte podmínky před umístěním objednávky."
"Please agree to all the terms and conditions before placing the order.","Prosím potvrďte podmínky před odesláním objednávky."
"Please log in below:","Prosím přihlaste se níže:"
"Please select region, state or province","Vyberte prosím oblast, stát nebo provincii"
"Please select shipping address for applicable items","Vyberte prosím doručovací adresu pro použitelné položky"
"Please select shipping methods for all addresses","Vyberte prosím způsob dodání pro všechny adresy"
"Price","Cena"
"Proceed to Checkout","K pokladně"
"Product","Produkt"
"Product Name","Název produktu"
"Products","Produkty"
"Qty","Množství"
"Qty:","Množství:"
"Quantity was recalculated from %d to %d","Množství bylo přepočítáno z %d na %d"
"Quote Lifetime (days)","Množstevní limity (v dnech)"
"Quote item does not exist.","Udaná cena neexistuje."
"Quote item is not found.","Udaná cena nenalezena."
"Recently added item(s)","Nedávno přidané položky"
"Register","Registrovat"
"Register and save time!","Registrujte se a ušetřete čas!"
"Register to Create an Account","Vytvořit účet"
"Register with us for future convenience:","Registrace přináší mnoho výhod:"
"Remove Item","Odstranit položku"
"Remove This Item","Odstranit položku"
"Remove coupon code from shopping cart","Odebrat kód kupónu z nákupního košíku"
"Remove item","Odstranit položku"
"Remove product from shopping cart","Odebrat produkt z košíku"
"Remove product(s) from shopping cart","Odebrat produkt(y) z košíku"
"Retrieve information about shopping cart","Získat informace o košíku "
"Review Order","Přehled objednávky"
"Review Order - %s","Recenze objednávky - %s"
"Sales","Prodeje"
"Save Condition","Uložit pravidlo"
"Save in address book","Uložit v adresáři"
"Select Address","Vybrat adresu"
"Select Addresses","Vybrat adresy"
"Select Shipping Method","Vyberte způsob dodání"
"Select State/Province...","Vyberte stát/provincii..."
"Select a billing address from your address book or enter a new address.","Vyberte z adresáře fakturační adresu nebo <a href=""#"" onclick=""billing.newAddress(true); return false;"">zadejte novou</a>."
"Select a shipping address from your address book or enter a new address.","Vyberte z adresáře dodací adresu nebo zadejte novou."
"Send Payment Failed Email Copy Method","Poslat kopii emailu ""platba se nezdařila"" na"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send To","Poslat na"
"Separate by "","".","oddělené "",""."
"Set customer for shopping cart","Nastavit zákazníka pro košík"
"Set customer's addresses in shopping cart","Nastavit zákazníkovu adresu v košíku"
"Set payment method","Nastavit platební metodu"
"Set shipping method","Nastavit způsob přepravy"
"Ship to Multiple Addresses","Dodat na více adres"
"Ship to different address","Zaslat na jinou adresu"
"Ship to this address","Zaslat na tuto adresu"
"Shipping Address","Dodací adresa"
"Shipping Information","Dodací údaje"
"Shipping Method","Způsob dodání"
"Shipping Methods","Dodací metody"
"Shipping To","Poslat na"
"Shipping information","Dodací údaje"
"Shipping method has not been selected yet","Ještě jste nevybrali způsob dodání"
"Shipping methods in shopping cart","Způsob doručení v košíku"
"Shipping selection is not applicable.","Vybraný způsob doručení není použitelný."
"Shopping Cart","Nákupní košík"
"Shopping Cart Form Before","Formulář košíku před"
"Shopping Cart Sidebar","Postranní lišta košíku"
"Shopping Cart Sidebar Extra Actions","Extra události postranní lišty košíku"
"Shopping Cart is Empty","Nákupní košík je prázdný"
"Shopping cart ability to set coupon code","Možnost použití kupónu v nákupním košíku"
"Show Content as","Zobrazit obsah jako"
"Some of the requested products are not available in the desired quantity.","Některé produkty nejsou k dispozici v požadovaném množství."
"Some of the requested products are unavailable.","Některé požadované produkty nejsou k dispozici."
"Some products quantities were recalculated because of quantity increment mismatch","Některé množství produktů bylo přepočítáno, protože množství neodpovídalo"
"Sorry, no quotes are available for this order at this time.","Litujeme, pro tuto objednávku nyní nejsou k dispozici žádné nabídky."
"State/Province","Stát/provincie"
"Status","Stav"
"Store View","Zobrazení obchodu"
"Street Address","Ulice"
"Street Address %s","Ulice %s"
"Submitting order information...","Odesílám informace o objednávce..."
"Subtotal","Součet"
"Telephone","Telefon"
"Terms and Conditions","Pravidla a podmínky"
"Terms and Conditions Information","Informace o podmínkách"
"Terms and conditions","Pravidla a podmínky"
"Text","Text"
"Thank you for your purchase!","Děkujeme za Vaší objednávku!"
"The condition has been deleted","Podmínka byla smazána"
"The condition has been saved.","Podmínka byla uložena."
"The onepage checkout is disabled.","Omlouváme se, jednostránkové platby jsou vypnuty."
"The product could not be found.","Produkt nebyl nalezen."
"The product does not exist.","Produkt neexistuje."
"There are <a href=""%s"">%s items</a> in your cart.","Zde je  <a href=""%s""><strong>položek %s</strong></a> z Vašeho košíku."
"There is <a href=""%s"">1 item</a> in your cart.","Zde je <a href=""%s""><strong>jedna položka</strong></a> z Vašeho košíku."
"There was an error processing your order. Please contact us or try again later.","Chyba při zpracování objednávky. Prosím zkuste to znovu později, nebo nás kontaktujte."
"This condition no longer exists.","Tato podmínka již neexistuje."
"Total","Celkem"
"Total for this address","Celkem na tuto adresu"
"Unable to set Payment Method.","Nelze zvolit platební metodu."
"Unit Price","Cena za jednotku"
"Update Cart","Aktualizovat košík"
"Update Qty &amp; Addresses","Aktualizovat množství a adresy"
"Update Shopping Cart","Aktualizovat košík"
"Update Total","Aktualizovat součet"
"Update product quantities in shopping cart","Aktualizovat množství v košíku"
"Update product(s) quantities in shopping cart","Aktualizovat množství v košíku"
"Use Billing Address","Použít fakturační adresu"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Zpracováváme Vaší objednávku a již brzy obdržíte e-mail s jejími detaily.<br/>Jakmile bude odeslána, dostanete další e-mail s odkazem na sledování zásilky."
"You have no items in your shopping cart.","V košíku nejsou žádné položky."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Dostanete e-mail s potvrzením objednávky včetně jejích detailů a odkazu na sledování jejího průběhu."
"Your Checkout Progress","Postup platby"
"Your billing agreement # is: %s.","Číslo Vaší objednávky je: %s."
"Your order # is: %s.","Číslo Vaší objednávky je: %s."
"Your order has been received","Vaše objednávka byla přijata"
"Your order has been received.","Vaše objednávka byla přijata."
"Your order number is ","Číslo Vaší objednávky je "
"Your recurring payment profiles:","Profil Vašich opakujících se plateb:"
"Zip/Postal Code","PSČ"
"osCommerce Orders","Objednávky osCommerce"
"Your order # is: <a href=""%s"">%s</a>","Vaše objednávka # je: <a href=""%s"">%s</a>"
